car_id,duration_in_lane
208,60.56494093
209,60.94374514
210,59.68003392
211,60.10067582
212,59.02722788
213,58.18170881
214,57.92656994
215,58.34448314
216,57.14209795
217,56.74213505
218,56.55239797
219,55.37327409
220,54.87063217
221,54.84348893
222,54.02248597
223,52.79789114
224,51.58604908
225,51.99225903
226,50.75665307
227,51.00093699
228,51.33552694
229,50.15671396
230,49.33277607
231,49.25789809
232,48.53182507
233,48.80386615
234,47.3505888
235,47.62544894
236,46.212219
237,46.65789199
238,46.5234828
239,45.04594898
240,45.53262496
241,45.64050198
242,44.24042702
243,43.22530603
244,42.27718711
245,40.81153297
246,40.01122308
247,39.07956409
248,38.92428184
249,38.94892693
250,38.74565792
251,38.87582707
252,39.089113
253,38.13056588
254,37.12266493
255,37.18061996
256,36.96336889
257,36.77185011
258,35.92332101
259,35.72738791
260,35.14428496
261,35.39258409
262,35.68320894
263,34.56997299
264,33.72578311
265,32.23187208
266,31.10200191
267,30.90821886
268,31.29377103
269,31.61043501
270,31.33450007
271,31.40320992
272,31.63582706
273,31.80123711
274,31.24691296
275,31.40092897
276,29.97618794
277,28.64552116
278,27.8391149
279,28.02419591
280,27.69463801
281,27.96275997
282,27.3667419
283,26.40947604
284,26.05491805
285,25.32177281
286,25.40597606
287,25.31816888
288,25.63231397
289,24.61188912
290,23.14198303
291,23.02121902
292,21.67618799
293,21.61103511
294,21.25967503
295,21.46818399
296,21.70306587
297,20.81587386
298,20.79808021
299,85.70626497
300,85.90953207
301,85.09730792
302,85.13976097
303,85.01129413
304,84.22750187
305,83.84163785
306,82.46401
307,82.52942395
308,82.29242706
309,82.19907904
310,81.06847191
311,79.88371706
312,78.58029413
313,77.08099484
314,75.60344195
315,74.54233098
316,74.82431102
317,74.55005598
318,75.01358008
319,74.06454015
320,72.79538894
321,73.19207215
322,72.95867395
323,71.91872787
324,72.2935071
325,71.09203601
326,70.55262899
327,70.55986595
328,70.02515602
329,69.34229589
330,68.25950503
331,67.32832098
332,66.2451241
333,65.27709293
334,65.29267693
335,65.07157588
336,65.42326999
337,65.62497997
338,65.57458997
339,65.43446398
340,64.82341695
341,64.25978398
342,62.94511414
343,62.56269097
344,62.12776804
345,61.90817094
346,61.96809506
347,61.12456417
348,59.82539701
349,58.36097193
350,57.261832
351,57.36600399
352,56.16159511
353,55.65618801
354,54.1717751
355,53.30057788
356,52.588727
357,51.4729619
358,51.56476212
359,51.67266202
360,50.96256518
361,50.594491
362,50.03528905
363,49.93000793
364,49.49011588
365,48.66246295
366,49.04051399
367,47.68510699
368,46.89141512
369,47.14742804
370,47.39538598
371,46.78500509
372,45.90081692
373,44.54326797
374,44.75977516
375,43.95553207
376,42.78661799
377,42.49489594
378,41.86740804
379,40.79882693
380,41.02612877
381,41.17413688
382,41.01383996
383,40.53345704
384,39.31617117
385,38.49348593
386,38.61736679
387,39.0413928
388,39.08288503
389,37.84680295
390,37.4939599
391,36.05136013
392,35.78395104
393,34.51610804
394,33.11631703
395,32.56612587
396,31.94728494
397,32.33712411
398,31.40411305
399,30.94975901
400,30.86025596
401,29.59105206
402,29.57361197
403,29.74915814
404,29.33326602
405,28.20148802
406,26.96814108
407,25.76922894
408,25.68832493
409,24.53311992
410,24.58235693
411,24.37184811
412,23.42271996
413,23.60964584
414,22.99028015
415,23.05064607
416,23.06605387
417,23.15128994
418,89.26935196
419,88.58827591
420,87.42672086
421,86.14215398
422,85.84108186
423,84.48855901
424,84.32225013
425,83.83649707
426,82.81523991
427,82.6503489
428,81.53166914
429,81.84921193
430,81.17526603
431,80.68424392
432,79.22297311
433,78.56947613
434,78.85705209
435,77.73980713
436,77.37103796
437,76.85106492
438,76.31493592
439,75.289428
440,75.64413595
441,75.007231
442,73.55724788
443,73.93133998
444,72.49676204
445,72.70057917
446,72.45478892
447,72.34755301
448,72.45879006
449,72.01538992
450,72.40844989
451,71.24010897
452,70.16672301
453,70.64977813
454,71.01404691
455,69.65228081
456,69.21876907
457,69.56547594
458,68.50310206
459,67.96056199
460,67.98759699
461,66.81712389
462,66.59621191
463,65.69490814
464,65.62316012
465,64.61803412
466,64.33902597
467,63.63694191
468,63.86580205
469,64.28940606
470,64.52157998
471,64.55872703
472,64.72577405
473,64.30663419
474,64.18924999
475,64.07224703
476,63.25676203
477,61.80768514
478,61.41736007
479,60.78876185
480,60.63485003
481,60.17387819
482,59.40520811
483,59.53611898
484,58.73155189
485,58.36444187
486,57.458812
487,56.43817186
488,55.31869602
489,54.42157888
490,53.08430791
491,52.13092804
492,51.57004809
493,50.50503802
494,50.080019
495,50.05237985
496,49.96989298
497,48.70840907
498,48.4084661
499,47.41008282
500,47.13204098
501,47.21884799
502,47.05600595
503,47.10465717
504,47.13099194
505,46.91416502
506,47.189713
507,45.97008014
508,44.85100603
